nombre_programa,codigo_pto,departamento,fecha_muestra,fecha_hora,id_muestra,clorofila_a_mg_l,feofitina_a_mg_l,alc_t_mg_ca_co3_l,conduc_m_s_cm,od_mg_l,p_h_sin_unid,sat_o2_percent,ssf_mg_l,sst_mg_l,ssv_mg_l,t_º_c,transparencia_cm,as_mg_l,cd_mg_l,ca_mg_l,cr_mg_l,fe_mg_l,mg_mg_l,hg_mg_l,ni_mg_l,pb_mg_l,k_mg_l,na_mg_l,zn_mg_l,n_amoniacal_mg_nh4_n_l,cn_total_mg_l,po4_mg_po4_p_l,pt_mg_p_l,no3_mg_no3_n_l,no2_mg_no2_n_l,nt_mg_n_l,termo_tmf_ufc_100ml,aox_mg_l,glifosato_mg_l,aldrin_mg_l,p_p_ddd_mg_l,p_p_dde_mg_l,p_p_ddt_mg_l,dieldrin_mg_l,endosulfan_alfa_mg_l,endosulfan_beta_mg_l,endosulfansulfato_mg_l,heptacloro_mg_l,lindano_mg_l,metoxicloro_mg_l,atrazina_mg_l,dbo5_mg_o2_l,sustfenolicas_mg_l,ampa_mg_l,st_mg_l,stf_mg_l,stv_mg_l,color_unidad_de_color,turbidez_ntu,cu_mg_l,se_mg_l,so4_mg_l,si_o2_mg_si_o2_l,colif_tmf_ufc_100ml,enteroc_sd_nmp_100m_l,ecoli_mf_ufc_100ml,pc_btotales_ng_l,toc_mg_l,dqo_mg_o2_l,ay_g_mg_l,dureza_t_mg_ca_co3_l,al_mg_l,s2_mg_l,heptacloroepoxido_mg_l,sd_mg_l,sdv_mg_l,pcb105_ng_l,pcb114_ng_l,pcb118_ng_l,pcb123_ng_l,pcb126_ng_l,pcb156_ng_l,pcb157_ng_l,pcb167_ng_l,pcb169_ng_l,pcb189_ng_l,pcb77_ng_l,pcb81_ng_l,b_mg_l,cl_mg_l,fenantreno_mg_l,fluoranteno_mg_l,fluoreno_mg_l,naftaleno_mg_l,pireno_mg_l,dibenzo_a_h_antraceno_mg_l,criseno_mg_l,benzo_a_antraceno_mg_l,benzo_a_pireno_mg_l,benzo_b_j_fluoranteno_mg_l,benzo_k_fluoranteno_mg_l,benzo_ghi_perileno_mg_l,acenafteno_mg_l,acenaftileno_mg_l,antraceno_mg_l,indeno_1_2_3_cd_pyreno_mg_l,deterg318_mg_l,ecoli_sd_nmp_100m_l
Río Negro,RN3,TACUAREMBÓ,2015-06-02,2015-06-02 09:30:00,3289593,8,4.5,50,101.9,12.05,8.62,133,NA,NA,NA,20,NA,NA,NA,12,NA,0.81,3.4,NA,NA,NA,2.7,6.7,0.005,NA,NA,72,110,0.25,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN5,TACUAREMBÓ,2015-06-03,2015-06-03 10:39:00,3289594,1.6,1.2,38,71.2,9.07,7.34,94.1,NA,NA,NA,17,134,NA,NA,7.5,NA,NA,2.3,NA,NA,NA,1.4,4,NA,NA,NA,44,79,0.068,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN5F,TACUAREMBÓ,2015-06-03,2015-06-03 10:39:00,3289595,NA,NA,37,71.6,8.98,7.48,93.3,NA,NA,NA,17.2,NA,NA,NA,8.2,NA,0.29,2.4,NA,NA,NA,1.5,4.1,0.01,NA,NA,46,78,0.099,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN6,TACUAREMBÓ,2015-06-03,2015-06-03 10:39:00,3289596,0.3,0.6,37,72.7,8.82,7.23,91.5,NA,NA,NA,17,134,NA,NA,8.8,NA,0.3,2.9,NA,NA,NA,1.4,4.3,0.007,0.032,NA,48,78,0.074,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN7,TACUAREMBÓ,2015-06-03,2015-06-03 10:39:00,3289597,0.9,0.2,41,78.1,8.81,7.07,91.3,NA,NA,NA,17,210,NA,NA,8,NA,NA,2.3,NA,NA,NA,1.8,3.9,0.028,0.025,NA,51,81,0.088,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN9,RÍO NEGRO,2015-06-05,2015-06-05 11:39:00,3289598,NA,NA,41,76.3,8.94,7.76,92.9,NA,NA,NA,17.1,86,NA,NA,7.9,NA,0.8,2.1,NA,NA,NA,2.3,4.8,0.011,NA,NA,52,76,0.19,NA,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Negro,RN9F,RÍO NEGRO,2015-06-05,2015-06-05 11:39:00,3289599,NA,NA,41,77.7,8.94,7.81,93.2,NA,NA,NA,17.4,NA,NA,NA,7.9,NA,0.71,2.2,NA,NA,NA,3.1,5.5,0.005,NA,NA,50,84,0.18,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC10,ARTIGAS,2018-02-07,2018-02-07 10:48:00,3289758,NA,NA,71,169.3,8.61,8.12,115.6,NA,NA,NA,29.6,NA,NA,NA,15,NA,NA,4.9,NA,NA,NA,2.4,11,NA,0.13,NA,NA,94,NA,NA,1.09,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,60,40,NA,9.68,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC20,ARTIGAS,2018-02-07,2018-02-07 08:52:00,3289759,NA,NA,82,193.6,9.02,8.12,116.6,NA,NA,NA,28.1,NA,NA,NA,16,NA,NA,6.5,NA,NA,NA,1.8,11,NA,0.028,NA,NA,98,NA,NA,0.78,90,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,60,50,NA,7.91,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,0.16,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC35,ARTIGAS,2018-02-08,2018-02-08 11:00:00,3289760,3.2,NA,81,192.2,9.59,8.52,128.9,NA,NA,NA,30.7,NA,NA,NA,17,NA,NA,7.1,NA,NA,NA,1.6,10,NA,0.028,NA,NA,110,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,80,60,NA,8.42,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC3C70,ARTIGAS,2018-02-06,2018-02-06 11:09:00,3289761,NA,NA,71,170.2,7.86,7.97,106.1,NA,NA,NA,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,NA,NA,100,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,70,120,NA,9.66,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC40,ARTIGAS,2018-02-06,2018-02-06 14:23:00,3289762,4.6,NA,79,206,9.68,8.36,140,NA,NA,NA,31.9,NA,NA,NA,16,NA,NA,6.7,NA,NA,NA,1.6,11,NA,0.043,NA,43,130,0.08,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,60,40,NA,9.88,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC50,ARTIGAS,2018-02-06,2018-02-06 12:22:00,3289763,NA,NA,73,176.4,9.52,8.61,134.3,NA,NA,NA,31.7,NA,NA,NA,15,NA,NA,6,NA,NA,NA,1.5,8.4,NA,0.026,NA,NA,88,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,70,70,NA,7.59,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RCYU80,ARTIGAS,2018-02-06,2018-02-06 10:07:00,3289764,NA,NA,175,334.4,6.71,7.85,83.5,NA,10,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,43,150,0.085,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,150,100,NA,9.1,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC10,ARTIGAS,2018-05-30,2018-05-30 12:00:00,3289765,4.7,NA,28,60.4,9.78,7.32,107.1,NA,13,NA,18.2,NA,NA,NA,6.3,NA,NA,1.9,NA,NA,NA,1.9,4.1,NA,0.034,NA,NA,63,0.1,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,60,30,NA,21.7,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC20,ARTIGAS,2018-05-30,2018-05-30 09:04:00,3289766,NA,NA,42,91.8,9.83,7.21,104.5,NA,15,NA,17.5,NA,NA,NA,9.6,NA,NA,3.2,NA,NA,NA,1.7,4.7,NA,0.026,NA,NA,73,0.08,NA,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,80,20,NA,16,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC35,ARTIGAS,2018-05-30,2018-05-30 14:00:00,3289767,4.2,NA,42,87.9,9.05,6.74,103.7,NA,32,NA,17.1,NA,NA,NA,10,NA,NA,3,NA,NA,NA,1.8,4.8,NA,0.045,NA,48,130,0.18,0.005,0.77,6600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,90,30,NA,29.3,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC3C70,ARTIGAS,2018-05-29,2018-05-29 10:24:00,3289768,NA,NA,57,110.5,10.45,7.15,109.6,NA,NA,NA,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,55,0.09,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,70,30,NA,8.29,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC40,ARTIGAS,2018-05-29,2018-05-29 13:00:00,3289769,NA,NA,42,87.5,8.81,4.02,100.4,NA,NA,NA,17.5,NA,NA,NA,9.2,0.012,NA,4.1,NA,NA,NA,1.3,4.5,NA,0.052,NA,28,76,0.3,0.058,0.75,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,70,20,NA,13.3,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RC50,ARTIGAS,2018-05-29,2018-05-29 14:41:00,3289770,NA,NA,43,87.3,9.01,7.2,102.4,NA,NA,NA,18.2,NA,NA,NA,10,0.007,NA,3.7,NA,NA,0.008,1.2,4,NA,0.04,NA,19,76,0.21,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,70,10,NA,11.3,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rio Cuareim,RCYU80,ARTIGAS,2018-05-29,2018-05-29 09:25:00,3289771,NA,NA,150,249.3,9.23,7.59,95.3,NA,9.3,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,50,95,0.24,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,130,40,NA,9.47,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,CU1,RIVERA,2018-02-28,2018-02-28 10:04:00,3289786,11,NA,85,273.9,4.38,7.36,53.4,NA,NA,NA,24.4,NA,NA,NA,25,NA,NA,6.1,NA,NA,NA,3.5,13,NA,1.1,NA,66,170,0.99,0.13,2.81,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2.8,NA,170,120,50,NA,8.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,CU3,RIVERA,2018-02-28,2018-02-28 14:18:00,3289787,2.3,NA,56,118.9,7.38,7.82,97.9,NA,14,NA,28.6,NA,NA,NA,14,NA,NA,2.9,NA,NA,NA,2.9,13,NA,0.064,NA,38,100,0.1,NA,1.51,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,90,50,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TG3,TACUAREMBÓ,2018-02-27,2018-02-27 13:53:00,3289788,NA,NA,57,147.9,7.86,7.96,96.3,NA,NA,NA,25.5,NA,NA,NA,11,NA,NA,4.3,NA,NA,NA,1.3,8.7,NA,0.048,NA,26,82,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,80,40,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TCH1,TACUAREMBÓ,2018-02-28,2018-02-28 17:02:00,3289789,4.7,NA,104,280.5,4.17,7.59,53.7,NA,9.4,NA,27.3,NA,NA,NA,28,NA,NA,9.2,NA,NA,NA,2.5,9.6,NA,0.73,NA,110,220,0.27,0.045,2.1,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,1.7,NA,160,120,40,NA,9.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TCH2,TACUAREMBÓ,2018-03-01,2018-03-01 10:14:00,3289790,NA,NA,NA,326.3,9.63,8.87,119.5,NA,NA,NA,25.9,NA,NA,NA,24,NA,NA,12,NA,NA,NA,2.8,19,NA,0.058,NA,290,300,0.16,NA,11.5,NA,26,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,200,130,70,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TG4,TACUAREMBÓ,2018-02-27,2018-02-27 10:49:00,3289791,NA,NA,74,197.1,8.09,8.17,100.4,NA,NA,NA,25.7,NA,NA,NA,13,NA,NA,6.3,NA,NA,NA,1.5,13,NA,0.043,NA,56,100,0.08,NA,0.55,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,140,100,40,NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,YA1,TACUAREMBÓ,2018-02-27,2018-02-27 13:27:00,3289792,3.6,NA,84,205.3,6.27,7.92,75,NA,25,NA,23.7,NA,NA,NA,15,NA,NA,5.8,NA,NA,NA,1.8,16,NA,0.11,NA,65,130,0.14,0.008,1.22,NA,18,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.52,190,130,60,NA,48.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,CA1,TACUAREMBÓ,2018-02-27,2018-02-27 12:34:00,3289793,22,NA,140,315.9,8.35,8.65,75.1,NA,34,NA,24.3,NA,NA,NA,24,NA,NA,8.4,NA,NA,NA,2.4,30,NA,0.039,NA,NA,82,0.12,NA,1.71,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,170,80,NA,32.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,CU1,RIVERA,2018-05-16,2018-05-16 10:39:00,3289794,NA,NA,41,93.1,9.41,7.37,95.3,NA,9.2,NA,15.3,NA,NA,NA,10,NA,NA,3.2,NA,NA,NA,1.9,5.1,NA,0.2,NA,56,160,0.29,0.011,1.26,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.7,NA,120,60,60,NA,34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,CU3,RIVERA,2018-05-16,2018-05-16 13:37:00,3289795,NA,NA,26,65.1,9.07,6.76,96.9,NA,19,NA,18.3,NA,NA,NA,6.6,NA,NA,2,NA,NA,NA,2.5,3.7,NA,0.069,NA,78,150,0.22,0.012,1.35,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,140,70,70,NA,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TG3,TACUAREMBÓ,2018-05-16,2018-05-16 12:35:00,3289796,NA,NA,24,57.6,8.73,6.65,98.7,NA,22,NA,19.3,NA,NA,NA,6.6,NA,NA,1.9,NA,NA,NA,1.6,3,NA,0.055,NA,35,120,0.14,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,160,70,90,NA,45.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TCH1,TACUAREMBÓ,2018-05-16,2018-05-16 12:01:00,3289797,NA,NA,57,106.9,9.25,7.44,96.1,NA,11,NA,16.6,NA,NA,NA,13,NA,NA,5,NA,NA,NA,1.1,4.2,NA,0.047,NA,23,140,0.17,0.013,0.95,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.4,NA,130,80,50,NA,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TCH2,TACUAREMBÓ,2018-05-17,2018-05-17 10:00:00,3289798,NA,NA,NA,82.9,10.46,7.54,104.2,NA,12,NA,16.2,NA,NA,NA,11,NA,NA,3.8,NA,NA,NA,1.2,4,NA,0.043,NA,73,160,0.24,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,140,80,60,NA,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Río Tacuarembó,TG4,TACUAREMBÓ,2018-05-15,2018-05-15 09:42:00,3289799,NA,NA,29,70.4,9.2,7.07,99.1,NA,22,NA,18.2,NA,NA,NA,9.2,NA,NA,2.5,NA,NA,NA,2.1,3.9,NA,0.054,NA,58,130,0.22,0.005,1.27,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,160,60,100,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
